Unique_ID,Dependent_Variable
Candidate_1602,0.24196885585490602
Candidate_29650,0.15636748259781963
Candidate_31061,0.3965705634532043
Candidate_5768,0.15647276547494426
Candidate_27059,0.5034328953954128
Candidate_20270,0.406784749416241
Candidate_54043,0.9242867368421489
Candidate_54497,0.5610799826634288
Candidate_38167,0.09995328683416542
Candidate_11250,0.23714191601727924
Candidate_5419,0.34210665266838974
Candidate_6931,0.39767620987010627
Candidate_6916,0.30962297100890906
Candidate_3515,0.28292199461556833
Candidate_4625,0.1777995513416757
Candidate_35017,0.1316731254985672
Candidate_21332,0.41197170014484996
Candidate_19628,0.042293312571564184
Candidate_19067,0.027818232370176384
Candidate_47289,0.10344405028971969
Candidate_12172,0.23341976871689363
Candidate_43670,0.09584547297152674
Candidate_18953,0.2535884285393996
Candidate_3087,0.8972794289331539
Candidate_15947,0.7274238093511396
Candidate_32862,0.35182435513058624
Candidate_30241,0.40987679742846805
Candidate_36494,0.45081068384721124
Candidate_24637,0.08291164027097393
Candidate_12273,0.21080441351190413
Candidate_34576,0.1984162506493073
Candidate_31700,0.2591899991571185
Candidate_35018,0.3573099589531129
Candidate_37102,0.04055269199962037
Candidate_5355,0.3520331237834563
Candidate_22900,0.11004122766397124
Candidate_32577,0.5881983278183686
Candidate_6584,0.5624642640015787
Candidate_22497,0.1762554610174296
Candidate_5119,0.5214766993010895
Candidate_19611,0.15454528739545034
Candidate_670,0.5994863976633769
Candidate_11319,0.5393564775250599
Candidate_2435,0.15594272782761845
Candidate_53281,0.44396380421767384
Candidate_28565,0.12571189408241124
Candidate_23217,0.052529813553953295
Candidate_18516,0.18955708869982985
Candidate_44789,0.45211410445765565
Candidate_14560,0.25112110648138336
Candidate_37433,0.023291437478533288
Candidate_2470,0.095882219881197
Candidate_29135,0.6281709273151983
Candidate_19788,0.010188233282916438
Candidate_32753,0.34445382537497
Candidate_17793,0.15902876334698968
Candidate_14051,0.130980632771153
Candidate_20768,0.21055328495818212
Candidate_22967,0.1740026008278237
Candidate_5561,0.22588254916698008
Candidate_9123,0.3331274960050613
Candidate_20607,0.039822780496755195
Candidate_19549,0.07830011725754095
Candidate_40456,0.3397897331375629
Candidate_24292,0.19399115416608012
Candidate_21670,0.2623979010129222
Candidate_41952,0.35862926119553906
Candidate_15451,0.018748236465376437
Candidate_10160,0.2553365755640737
Candidate_53635,0.2752712189674363
Candidate_46594,0.14161616545789232
Candidate_38403,0.1064663364487332
Candidate_24940,0.2334182682388076
Candidate_15538,0.38937620237045745
Candidate_9811,0.44307934543806876
Candidate_42848,0.11653382029235156
Candidate_4887,0.1977120792364292
Candidate_29328,0.219276960952066
Candidate_32148,0.2069914404661838
Candidate_27779,0.23225189591610645
Candidate_38695,0.11239836346607111
Candidate_39837,0.08231961459681986
Candidate_11369,0.6287929903316863
Candidate_9668,0.5413822459608141
Candidate_5007,0.208582868828768
Candidate_55017,0.3721543502161373
Candidate_40238,0.17694191492130848
Candidate_39737,0.018080619506153306
Candidate_41130,0.060749327051656477
Candidate_21346,0.040770735713172565
Candidate_52457,0.611111698208623
Candidate_42035,0.08141490412980225
Candidate_4601,0.10511299421709276
Candidate_31460,0.027263056183299002
Candidate_31486,0.07114182652464358
Candidate_10022,0.3799706329608159
Candidate_46187,0.5501505788407339
Candidate_53903,0.19320929294767344
Candidate_36932,0.06178841186740761
Candidate_35501,0.1424433868409112
Candidate_16024,0.2655889359157447
Candidate_40915,0.12394569920553176
Candidate_3215,0.37843838632250926
Candidate_37336,0.09933321411500685
Candidate_39474,0.21251351190368117
Candidate_9242,0.4599397068755747
Candidate_54580,0.34938402704185484
Candidate_23436,0.014439045921331311
Candidate_24389,0.10920019652453417
Candidate_46184,0.5116407586244521
Candidate_220,0.4407405827029218
Candidate_19533,0.2200325854082866
Candidate_2636,0.11072009103662686
Candidate_4299,0.4174689465220764
Candidate_7866,0.39647866506374785
Candidate_36732,0.16482736824196398
Candidate_34036,0.011280325094824493
Candidate_13828,0.07512622270683036
Candidate_15541,0.22350936825239046
Candidate_44349,0.4364430214847812
Candidate_22503,0.24424293627779872
Candidate_10575,0.43875932294555825
Candidate_15279,0.7716643476907303
Candidate_23398,0.28669925871859486
Candidate_33262,0.06481999333024337
Candidate_19303,0.21905534711434
Candidate_23404,0.19906352136215374
Candidate_31853,0.07241105719902578
Candidate_6839,0.6644709502366497
Candidate_18876,0.10480896728883457
Candidate_2018,0.09904758204743308
Candidate_47345,0.12142649404845955
Candidate_13111,0.13152431691195807
Candidate_24575,0.5495510297658853
Candidate_21537,0.5184525888326941
Candidate_52257,0.4444781715529724
Candidate_37424,0.2339311447476576
